serial_number,product_number,location type
0U5YR9FTKBSFN3IK,SUU3UH,Factory
PX8KT0ZR6U4I9NKS,EMAZLS,Warehouse
S40QCUJ3O1E9SJ79,VXXYFB,Warehouse
CYOMBMI0NHH6XL56,VFCUX4,Warehouse
0FP5GH9JKMEFR3IO,2UKT3U,Public
21YKT3Z82UU19ROS,EMA05D,Office
ET411YKUKARAI3I3,GFLMIH,Office
EXRXZBR2IYMTH6XZ,2144SW,Public
2TFTQXJKJJE1S9S9,CYA5K0,Office
01VRCU6CW89BKI3N,VXFAOD,Factory
CFITBAJOFJGYSKN9,VTQ1DQ,Public
SYBPLQ7LRZ1UBZH2,CYA5K0,Factory
P489YM34K37H83IF,S405MQ,Office
0XFGRJ25WSU1OI3R,STPOUA,Factory
SU1TX5JB9JE1SOR9,G1RCOY,Office
EMDZVYNKNWAO5L5L,EMAZLS,Warehouse
VFMUHBOX3OCM7F8J,2MEAQ2,Office
2MEBNFZHZ7U19S9S,P4F95O,Factory
GUPQM1FQKFSBN3IK,VX8XMK,Warehouse
CXO92A7K8ZY4BWQ2,VFCUX4,Factory
24LB5QJAOJE1SJ79,2UKT3U,Warehouse
PYYXGTLQWIJHFI38,P48O03,Office
GF3AWH95K9E1R3IO,SU146O,Warehouse
S1S9J579SZ1UBDA2,210T4T,Office
VTK56YKQKKRAI3I3,ETYQWU,Warehouse
VX6H59DXLRTMJ8F7,ET4MVY,Office
STCFDXIHJJE1S9S9,C4EU21,Factory
G1ACF11KN6B9QL5W,GUP5P3,Warehouse
PFCF6KIQFJGYSKN9,GF3HK3,Office
2YT6B73AD7U197JS,SUUOVB,Public
C41U63GQK37H83IF,GUMQ5J,Warehouse
GXDNKLX3N21UAL5D,VMTW7Y,Office
2UQFZOIB9JE1SOR9,EXDMWQ,Factory
VMC0XITQWNOA3I3I,EMAZLS,Office
EFL3LFNX3OCM7F8J,GF51UQ,Factory
SM91O25J7Z1UB2B2,GF51UQ,Office
0ULB63EQKFSBN3IK,2UW3NK,Warehouse
PXXUXN3Q674Y9NKS,ET4MVY,Public
S4414JIAGJE1SJ79,P46KQQ,Office
CYRHRLYKALHJXL56,PFTFPH,Office
0FTMT385C9E1R3IO,S4GHD3,Office
210U0R3B47U19ROS,C4U9TQ,Office
ETGA93CQSKRAI3I3,S1BJQN,Factory
EXAYG6QFYDMTH6XZ,CXA4GF,Office
2T8J49IHGJE1S9S9,VFC38T,Warehouse
01U8ZIUQJ89BKI3N,2YMP1O,Office
CF5JUKIQEJGYSKN9,2MVQ1J,Factory
SY2ZGZ5OYZ1UBZH2,2TX3ZK,Office
P4X3O3GQR37H83IF,0FCB6O,Warehouse
0X8SPIF5TSU1OI3R,PFPO4X,Office
SUVJ4OIBGJE1SOR9,ETGHSH,Office
EMOWSLMKBWAO5L5L,0FC1X9,Factory
VFPO4FNXGOCM7F8J,2T6FFU,Factory
2M150M3H47U19S9X,24517U,Office
GUT1GAEQ7FSBN3IM,S405MQ,Factory
CXR3HT5K1ZY4BWQF,SM25PF,Office
24358MIAGJE1SJ7X,S12KUB,Office
PY0YUB4QOIJHFI31,2TX3ZK,Warehouse
GFIXSY85C9E1R3IQ,GXO8BS,Factory
S1B3QT59YZ1UBDAF,CXAK45,Office
VTNMCHCQSKRAI3IY,CXA4GF,Office
VXFQO1KX4RTMJ8F5,2MUBS0,Factory
STM4IMYTGJE1S9MX,PFTJMA,Office
G1D7YOZRH6B9QLDT,VXFAOD,Office
PFM47MYTEJGYSKMX,2UWUQF,Factory
2YC0FMGP47U197CX,0X6GIP,Office
C4VOEBA9R37H83B1,CFLO55,Factory
GXOEB4VGM21UAL0K,SUUOVB,Public
2UW4NMYTGJE1SOMX,PY05UV,Warehouse
VMM2THSZ9NOA3I7Y,24IYUB,Public
EF3TQ1MUGOCM7F15,C4V4EU,Warehouse
SMSAZT0CYZ1UB2PF,EXDMWQ,Public
0U35QAHO7FSBN3AM,STCKO9,Factory
PX6OIMGPU74Y9NCX,VX6BL6,Office
S4GAAMYTGJE1SJMX,2YCLF6,Factory
CYAQW9DSALHJXL2U,21YUMK,Office
0FCHXY14C9E1R3YQ,ET01G9,Warehouse
214OSMGP47U19RCX,VX6BL6,Factory
ETYXQUBJSKMAI3HY,VMT0HT,Warehouse
EXDBW7PEYD2TH6V3,0X8RT4,Office
2TXKHKYTGJ51S9MX,VFMTZF,Office
01EGNP7DJ8GBKIRM,01V7M1,Office
CFLK59YTEJAYSKMX,CYAAWE,Office
SY9WDI0CYZ6UBZPF,VTNYMU,Other
P46TQ4A9R31H83B1,2TX3ZK,Office
0XXI8DE0TS71OIGQ,2UNFPQ,Office
SUUKVFYTGJQ1SOMX,21YUMK,Office
EMRVOE27BWPO5LZ4,GXR7HK,Office
VFTFPJMUGOBM7F15,VXFAOD,Factory
2MVM1WGP45I19SCX,STPTVH,Office
GUCA2THO71YBN3AM,24IYUB,Warehouse
CXAT4S0C13D4BWPF,VX8MP5,Public
24IMV3YTG5X1SJMX,S1BJQN,Factory
PY4BH0R2OYEHFIS1,0FPXYH,Warehouse
GF5YVO14CXH1R3YQ,CXA4GF,Office
S12TU80CY3WUBDPF,PFCKFK,Other
VTQHDUBJSMMAI3HY,PY4AZX,Office
VX81MZCV4QSMJ8E5,VTWAIY,Office
STP9VKDTG551S9MX,VTQ1DQ,Other
G1ON9C3RHU09QLDT,243H8F,Factory
PFP909DTE5AYSKMX,SUETA4,Public
2YM21LAP458197CX,SMBB8V,Warehouse
C4UFT4W9YY1H83B1,EF34WJ,Factory
GXRR7QJG2FZUAL0K,CXRFZM,Factory
2UK93HDTX5Q1SOMX,GUCH9X,Office
VMPL0FXZEMCA3I7Y,01V7M1,Office
EFIJ952UAQBM7F15,SM21T5,Factory
SMBX8AOCW3LUB2PF,VMTW7Y,Office
0UIMUXLOM1YBN3AM,GXO8BS,Factory
PXFFDFAP75RY9NCX,SM9MRM,Warehouse
S4YXKBDT55X1SJMX,STTJMX,Warehouse
CYD1CXK104VJXL2U,0U3XWT,Office
0FMQJQZABXH1R3YQ,243H8F,Warehouse
21GFLJAK85N19RCX,SMBQXO,Factory
ET0Y4X6M1MMAI3HY,0FC1X9,Public
EXO5S59HDK2TH6V3,S44MGM,Office
2T6UFAD5Q551S9MX,21GK30,Office
011SVF54C1GBKIRM,VFMTZF,Office
CF3UNXDBH5AYSKMX,2T6FFU,Factory
SYSVHBOXL36UBZPF,SYS6HV,Factory
P4FJIXW1YY1H83B1,2YPZCQ,Office
0X6C3KHOSX71OIGQ,VFTKT5,Factory
SUEURHDQX5Q1SOMX,PFTJMA,Public
EMAD5XFMVTPO5LZ4,VXF5R7,Office
VFC4852HAQBM7F15,0FC1X9,Office
2MUH9OA3N5I19MCX,EF3KQO,Factory
GUMXIXLYM1YTNAAM,S199DG,Public
CXDJQXOBZ3DRBTPF,S1BJQN,Office
245H74DX55X3SMMX,S12KUB,Office
PYG53RQUGYE0FBS1,S124EJ,Office
GFLBITZABXHJRYYQ,CYAAWE,Office
S19JA0OQ63W8BTPF,G1RCOY,Factory
VTWQI96M1MMUIHHY,S124EJ,Office
VXXAFGBJRQS2J1E5,ET4MVY,Office
STT3M4K5Q55KXMMX,CYDMMR,Factory
G1REDZGYPU0CPODT,VTQ1DQ,Public
PFT3MUKBH5AOXMMX,VMTW7Y,Factory
2YPLCGWFI58L8MCX,PY4MHK,Factory
C4E4BOT1YY141BB1,0U5BDY,Office
GXA80PIA2FZ7W40K,CYAAWE,Warehouse
2UN3M4KQX5QFXMMX,EMA05D,Warehouse
VMTP7SVTEMCVGH7Y,CF59EM,Office
EF5K14FHAQB95115,GXAN4B,Office
SM2YP0N5W3LN6TPF,011RUZ,Public
0U5HAJ4YM1YTMAAM,SUETA4,Office
PX84CEW975RD8MCX,2YMP1O,Office
S40YM4KX55X3XMMX,GUMQ5J,Public
CYOA2DC104VGV92U,0FMAJU,Office
0FP1YT3ABXHJQYYQ,SY9LOL,Office
21Y4CGWK85N68MCX,C41TF3,Office
ET4BV9UM1MMUYHHY,SY22YM,Office
EXRMJ08HDK2SLUV3,214JB8,Public
2TFOW4K5Q55KXMMX,VFTKT5,Office
01VIMY04C1GPCARM,S4YBKU,Warehouse
CFIO2HKBH5AOXMMX,EF3KQO,Factory
SYBD3FNXL36I6TPF,ET4MVY,Office
P48K01T1YY141BB1,SMBB8V,Office
0XF7ABLOSX7ZNYGQ,GUP5P3,Warehouse
SU1O6QKQX5QFXMMX,GUTXG4,Office
EMD6UTEMVTPE0JZ4,2TX3ZK,Factory
VFM9ZAF3AQB95115,2TX3ZK,Office
2MEQQ5WSN5IW8MCX,VFPJG1,Warehouse
GUPYPY43M1YTMAAM,GUTMYA,Office
CXOK9JN6Z3DR6TPF,G1RCOY,Factory
24LQLXKJ55X3XMMX,STTJMX,Warehouse
PYYMY1PIGYE0EBS1,2UW3NK,Warehouse
GF35KB3K6XHJQYYQ,SM21T5,Warehouse
S1SK7KNDO3W86TPF,VTQ1DQ,Office
VTK1FMU3LMMUYHHY,0ULAFA,Warehouse
VX6XLA6IQQS2I1E5,VMMPTP,Warehouse
STCTO5C9245KXMMX,GFLA5T,Office
G1AR84AL370CPODT,G1RCOY,Public
PFCTFHCFL4AOXMMX,PY05UV,Factory
2YTP2XT7H08L8MCX,ET4AUM,Factory
C419F1S3LO141BB1,VFTKT5,Office
GXDGN9YWFEZ7W40K,VMMPTP,Public
2UQTJQCOD4QFXMMX,2MUBS0,Factory
VMCZ6MJI52CVGH7Y,S4YQN4,Office
EFLU3KE3WT695115,ET054O,Office
SM9BR7M29GON6TPF,S4GHD3,Public
0ULQFKR3LJ6TMAAM,SY9LOL,Office
PXX96LT850QD8MCX,S44MGM,Warehouse
S44BGOCJZ423XMMX,011CVS,Factory
CYRXANBL3RFGV92U,CYA5K0,Office
0FTACFGK6ULJQYYQ,CXDUQ0,Office
210942TRA0H68MCX,P4FUIJ,Warehouse
ETG5SK73L96UYHHY,STTJMX,Factory
EXAHYN1LKCFSLUV3,GFLA5T,Office
2T8FGJC924DKXMMX,S1SO7R,Warehouse
01UCJWOI5ZXPCARM,2MVQ1J,Office
CF5FE3CFL4WOXMMX,S1BFWM,Warehouse
SY26YRMZJG9I6TPF,GXDINI,Office
P4XURKS3LO641BB1,011CVS,Office
0X8NT64NXV5ZNYGQ,VXXYFB,Public
SUVFG9COD4ZFXMMX,SUETA4,Office
EMO0BNHL3SFE0JZ4,S401PX,Office
VFP3GKE3WT695115,GF55VX,Office
2M114ZTSB0AW8MCX,2TXOHH,Office
GUTBYKR3LJ6TMAAM,VXXH80,Office
CXRUZIM63GKR6TPF,0FCB6O,Office
2431XOCJZ423XMMX,C4U9TQ,Factory
PY0HEW9I5DX0EBS1,G1DEYG,Warehouse
GFIMBFGK6ULJQYYQ,2T89GM,Public
S1BUW1MDOGJ86TPF,CF3TQU,Office
VTNAMA73L96UYHHY,C4EU21,Office
VXFYRTUIQPX2I1E5,VXFAOD,Office
STMJ51B924DKXMMX,CXD9WE,Warehouse
G1D80BWL37FCPODT,G1R8DU,Office
PFMJHYBFL4WOXMMX,21YUMK,Public
2YCZ8USYH0BL8MCX,PXFKOX,Factory
C4V31HXALO641BB1,EMOLBH,Office
GXOS21DTFE37W40K,24IYUB,Office
2UWJQ1BYD4ZFXMMX,SM21T5,Warehouse
VMMWCOIB52XVGH7Y,EF3KQO,Warehouse
EF3OWMHYWT695115,CXAK45,Office
SMS5J1249GON6TPF,P464W4,Public
0U31WBQHLJ6TMAAM,S4GHD3,Office
PX6354S150QD8MCX,PYGH3M,Factory
S4G5D1BYZ423XMMX,EMAZLS,Factory
CYAYKH6O3RFGV92U,2UNFPQ,Office
0FCX61AM6ULJQYYQ,C4UKCX,Warehouse
2143BUSYA0H68MCX,011CVS,Office
ETYMWA5BL96UYHHY,2UNFPQ,Office
EXDQKMZ4KCFSLUV3,SY9LOL,Warehouse
2TX4Z1BY24DKXMMX,SMBQXO,Warehouse
01E7Q9NH5ZXPCARM,C4EU21,Office
CFL4LYB1L4WOXMMX,C4U9TQ,Public
SY90O124JG9I6TPF,GUP5P3,Public
P46OWTXALO641BB1,24517U,Office
0XXEX7RMXV5ZNYGQ,21YUMK,Office
SUU4U3BYU4ZFXMMX,GUP5P3,Office
EMR2R0L9RSFE0JZ4,GFLA5T,Warehouse
VFTTT9HYTT695115,PY05UV,Office
2MVAV8SYV0AW8MCX,ET01G9,Office
GUC59UQH9J6TMAAM,ET4MVY,Office
CXAOGD2UGGKR6TPF,GXAS0J,Office
24IAUKBYU423XMMX,S4GHD3,Office
PY4QZC8AZDX0EBS1,G1DEYG,Warehouse
GF5HUJAMUULJQYYQ,2T6FFU,Factory
S12OEL24EGJ86TPF,2YTW2Z,Office
VTQXO45BO96UYHHY,SYS6HV,Office
VX8BPS7YPPX2I1E5,2YMP1O,Public
STPKUF6YU4DKXMMX,2T6FFU,Factory
G1OGSVTJS7FCPODT,SY22YM,Office
PFPK4O6144WOXMMX,ETYQWU,Office
2YMWVNXYV0BL8MCX,STPOUA,Office
C4UTCTVAJO641BB1,0FMAJU,Office
GXRIHZKTEE35W40K,SM9MRM,Office
2UKKI36YU4ZBXMMX,0X6GIP,Public
VMPV4GYBD2XKGH7Y,CF3FN4,Public
EFIFS9LYTT6X5115,VXFAOD,Office
SMBMX6F4EAOH6TPF,SYS6HV,Office
0UIAEUPH956QMAAM,G1DEYG,Warehouse
PXFTOQX10OQK8MCX,C4EU21,Warehouse
S4YMNH6YUA2AXMMX,VTWAIY,Other
CYDBM3UO7QFQV92U,214JB8,Warehouse
0FMY75WMUHL5QYYQ,245BH4,Office
21GT3AXYVOH98MCX,CF3TQU,Office
ET0HG504OX6QYHVY,S1BJQN,Warehouse
EXO1BF3RCBFXLUJ3,P4FUIJ,Office
2T698B6FUADHXMWX,EF3KQO,Factory
011NU5MV23XKCAMM,EF3KQO,Factory
CF39QQ6J4AWQXM2X,2T6FFU,Factory
SYS2ZJFNEA9A6T3F,2UKOIH,Public
P4FF55VTJQ6Q1B01,SM21T5,Office
0X6RI5Q2VJ53NYAQ,VX6BL6,Office
SUE9AA63UAZBXM6X,0XFEAL,Office
EMALL34GRXFQ0JU4,2TX3ZK,Public
VFCJXXLOTB6X51Z5,2MVQ1J,Office
2MUXSBX6VOAJ8MQX,VTW559,Office
GUMM55PU956QMAPM,SYBZIX,Office
CXDFWKF7GAKQ6T9F,0U5BDY,Office
245XHH6KUA2AXMLX,243H8F,Office
PYG1I51PZKXKEBY1,GXAN4B,Public
GFLQ55W9UHL5QYDQ,0XX78F,Office
S19FDOFIEAJB6TFF,GXO8BS,Office
VTWY5504OX6QYHVY,VTW559,Office
VXX58X5DP9XFI1H5,24IYUB,Office
STTUPTUFUATHVMWU,0X6GIP,Office
G1RSORSES5RQ9OTS,SU146O,Office
PFTUPTUJ4ATQVM2U,CYOH91,Public
2YPVMPVWVOPO1M5V,2UWUQF,Office
C4EJ29JTJQ9QZB0J,2YTW2Z,Office
GXAC4GCSEHG5T4OC,2YPZCQ,Warehouse
2UNUPTU3UATBVM6U,0ULAFA,Warehouse
VMTDHZD0DFZKAH1D,P48341,Public
EF54VU4OTBUX01Z4,PXFKOX,Warehouse
SM2HTCE8EACHUTKE,GXAS0J,Factory
0U5XDO9U95OQ2AP9,245BH4,Factory
PX8JMPVZ0OPK1MBV,G1DS0P,Office
S40HPTUKUATAVMLU,CF3FN4,Office
CYO59S7C7QSQJ947,C4VJ14,Office
0FPB04T9UH45PYDT,VMT0HT,Factory
21YJMPVLVOP91MXV,24517U,Factory
ET4QUJO4CXJQDUVO,EFIU9T,Office
EXRA7EGRBBEX47JG,PFMUH9,Factory
2TF3KTUFIATHVKWU,0FM57T,Office
01VEPD2V43DKBPM2,PX8UMJ,Warehouse
CFI39TUJRATQV92U,ET4AUM,Warehouse
SYBLICENXACAUI3E,SUU3UH,Public
P48449JTEQ9QZ40J,SYS6HV,Factory
0XF8D0P2JJ03MDAP,EMAZLS,Factory
SU13FTU3NATBVF6U,VFMTZF,Warehouse
EMDPE1RGMX7QOEUR,P48341,Office
VFMKJH4OSBUX0JZ4,SMSHJW,Warehouse
2MEYWKV63OPJ1WQV,CXOO9N,Factory
GUPHTM9UG5OQ2TP9,CF3TQU,Factory
CXO4SBE5AACQUS9E,GUCH9X,Warehouse
24LY35UB8ATAV3LU,24IYUB,Office
PYYA04ZFUK2KH0YZ,PFCKFK,Factory
GF31NATX7H45PODT,21G9LE,Warehouse
S1S4HXEHQACBU8FE,VTWAIY,Office
VTKB81OXCXJQDUVO,S1SO7R,Factory
VX6M3J0K99VFYZH0,0UIYEX,Office
STCORQ7AIATHVKWU,VMP64X,Factory
G1AIXMXXY5RQ9CTS,0FPM0B,Factory
PFCO8B75RATQV92U,CF3FN4,Office
2YTD93J9FOPO1L5V,2YP6MF,Office
C41K8YIXEQ9QZ40J,SU1JFQ,Office
GXD7QABXHHG5TROC,SMBB8V,Office
2UQO7X7HNATBVF6U,GXO8BS,Factory
VMC6FUKFTFZKAV1D,GUTXG4,Factory
EFL9IHRQSBUX0JZ4,C41TF3,Factory
SM9QAQHA5ACHUNKE,GF51UQ,Office
0ULY8M8XG5OQ2TP9,PFTFPH,Warehouse
PXXKF9J3OOPK12BV,24517U,Factory
S44QY57B8ATAV3LU,EMAZLS,Factory
CYRMDY5X1QSQJG47,SYSPZG,Public
0FT5MKSX7H45PODT,VXXYFB,Office
210KG7JJKOP916XV,VMP64X,Office
ETG1BFNXCXJQDUVO,S12KUB,Office
EXAX0LAQBBEX47JG,EF5O1B,Office
2T8TYO7AIKTHVKWU,SYS6HV,Warehouse
01UR78FF4GDKBPM2,VMCV6L,Public
CF5T1F75RKTQV92U,EMAZLS,Office
SY2P02HBXWCAUI3E,CYOH91,Office
P4X9AFIXET9QZ40J,GF51UQ,Office
0X8GCN9FJI03MDAP,SU146O,Factory
SUVTYJ7HNKTBVF6U,EMRPRF,Office
EMOZ26QXMV7QOEUR,24517U,Warehouse
VFPUY3RQSFUX0JZ4,243H8F,Warehouse
2M1BGRJO3NPJ1WQV,GF55VX,Factory
GUTQ0F8XG4OQ2TP9,2T6FFU,Factory
CXR9J6H5AWCQUS9E,CF59EM,Factory
243B697B8KTAV3LU,CXD9WE,Office
PY0X183FUC2KH0YZ,S12KUB,Public
GFIA2KSX7345PODT,0FCB6O,Office
S1B9KZHHQWCBU8FE,STTFP4,Office
VTN5PFNXCUJQDUVO,VTW559,Public
VXFHAIOK98VFYZH0,VMMDCE,Warehouse
STMFLO5AIKTHVKWU,VXFAOD,Office
G1DC46VXY0RQ9CTS,CYDMMR,Factory
PFMFZF55RKTQV92U,2UNFPQ,Warehouse
2YC6XYI9FNPO1L5V,GF51UQ,Office
C4VUVAYXET9QZ40J,ETGHSH,Factory
GXON9T6XHLG5TROC,S401PX,Office
2UWFWY5UNKTBVF6U,EXDMWQ,Office
VMM0MBCRTEZKAV1D,VXXYFB,Office
EF33KYQTXFUX0JZ4,GF51UQ,Office
SMS174LVDWCHUNKE,PXF9DG,Office
0U3BKH19X4OQ2TP9,CYOY2T,Office
PX6UL1IGNNPK12BV,STPTVH,Office
S4G1OY5UBKTAV3LU,CFLO55,Public
CYAHNO0Z6PSQJG47,2UWUQF,Factory
0FCMFMXU5345PODT,EF3KQO,Office
214U2YIE7NP916XV,VTKXF3,Office
ETYAKBMOXUJQDUVO,GF51UQ,Warehouse
EXDYN4WP66EX47JG,2UNFPQ,Factory
2TXJJY5UAKTTVKWU,0X6GIP,Warehouse
01E8WHES8GDRBPM2,VX8XMK,Office
CFLJ3154QKTTV92U,CFLO55,Public
SY9ZR4LV2WCPUI3E,0FTYCY,Office
P463KAYJXT99Z40J,SYSPZG,Office
0XXS6M8EII0GMDAP,EXDMWQ,Office
SUUJEY5UHKTTVF6U,GXAN4B,Office
EMRWA9PD6V7ZOEUR,C4EU21,Warehouse
VFTOCYQTXFUU0JZ4,ETGHSH,Warehouse
2MV5UYIERNPC1WQV,EMD2UI,Office
GUC1S419X4EO2TP9,EF3KQO,Office
CXA3Y7L0WWBPUS9E,EF5O1B,Factory
24I5EF5UBKNTV3LU,GXO8BS,Office
PY4YJVG78CTSH0YZ,G1R8DU,Office
GF5XE9XU53R4PODT,0XX78F,Warehouse
S1231NLVZW5PU8FE,24IYUB,Office
VTQMRTMOXUGJDUVO,CF3TQU,Public
VX8QTDNC88JEYZH0,ET01G9,Office
STP4E30UAK8TVKWU,GXDINI,Office
G1O7BGJ2601D9CTS,VMT0HT,Warehouse
PFP4GJ04QKSTV92U,C4EU21,Warehouse
2YM0U6YESNKC1L5V,0FC1X9,Office
C4UOMUDJXTC9Z40J,PFPO4X,Factory
GXREZSUVLLA0TROC,SYS6HV,Office
2UK45K0UHKITVF6U,PXXT6T,Office
VMP2GPBR8E47AV1D,ET4MVY,Office
EFITBOPTXF7U0JZ4,PFMUH9,Warehouse
SMBA6I4VDWXPUNKE,ET01G9,Factory
0UI514Z9X4EO2TP9,VMCV6L,Warehouse
PXFORZYGNN9C12BV,VXXYFB,Warehouse
S4YAQF0UBKNTV3LU,CXDUQ0,Office
CYDQPEOZ6PM2JG47,0XX78F,Factory
0FMHH9VU53R4PODT,2T6FFU,Office
21GOIWYE7N3C16XV,PY01E9,Factory
ET0XYT2OXUGJDUVO,STCKO9,Public
EXOB2QTP66HV47JG,ET01G9,Office
2T6KXH0UAK8TVKWU,2YP6MF,Office
011GEKHM8GURBPM2,CXD9WE,Factory
CF3KW50AQKSTV92U,CF3FN4,Office
SYSWJA432WQPUI3E,SY9LOL,Office
P4FTLQDYXTC9Z40J,0ULAFA,Warehouse
0X6I5F1HIIOGMDAP,VTNYMU,Office
SUEKDB0XHKITVF6U,VTNYMU,Factory
EMAV3Q9U6VYZOEUR,VTNYMU,Office
VFCF6QPBXF7U0JZ4,EF34WJ,Office
2MUMBJYQRMFC1WQV,CF3FN4,Office
GUMALQZMXAEO2TP9,2T89GM,Factory
CXDTK54OWTBPUS9E,CXDUQ0,Office
245MZA05BMNTV3LU,CFL3L9,Public
PYGB5KAY8BTSH0YZ,2T6T84,Factory
GFLYLXVH5YR4PODT,2MUBS0,Office
S19TOB4FZT5PU8FE,214JB8,Warehouse
VTWHLQ21XHGJDUVO,C4UKCX,Warehouse
VXX1XKMB81JEYZH0,ET054O,Office
STT9THOQPM8TJKWU,S405MQ,Warehouse
G1RNRQITOO1D8CTS,STPOUA,Factory
PFT9T5OAPMSTJ92U,VXXYFB,Warehouse
2YP2POD5MMKCZL5V,243XXM,Office
C4EF9QKY2BC9340J,GF3HK3,Office
GXARGX7J44A0SROC,0ULAFA,Public
2UN9TUOXPMITJF6U,VX8MP5,Warehouse
VMTLZR61HH47WV1D,2UW3NK,Office
EF5JUT9BV17UOJZ4,VFPJG1,Warehouse
SM2XCVRKTTXP7NKE,2MUBS0,Factory
0U5MO93MDAEOFTP9,P46KQQ,Factory
PX8FPGDAMM9CZ2BV,S4GYAF,Office
S40XTUO5PMNTJ3LU,0UIYEX,Office
CYO1SZN499M2IG47,PFMUH9,Warehouse
0FPQ4UJH0YR49ODT,P46KQQ,Office
21YFPEDXMM3CZ6XV,G1DEYG,Factory
ET4YEOF1ZHGJKUVO,24LALJ,Factory
EXR5HPS9UUHVR7JG,PY05UV,Office
2TFUNUOQPM8TJKWU,EF3KQO,Factory
01VSTSLMAAUR6PM2,ETGHSH,Warehouse
CFIUS4OAPMSTJ92U,CF59EM,Warehouse
SYBV5VR3TTQP7I3E,2TXOHH,Office
P48JGJKY2BC9340J,C4E3BM,Factory
0XFCOEZHYYOG2DAP,0FM57T,Office
SU1U8UOXPMITJF6U,CXA4GF,Warehouse
EMDD1D8UJJYZNEUR,0X8RT4,Factory
VFM47T9BV17UOJZ4,PYYQYL,Office
2MEHKEDQMMFCZWQV,PY4MHK,Office
GUPXC93MDAEOFTP9,EFLF3F,Office
CXOJB0ROTTBP7S9E,2YMP1O,Office
24LHIUO5PMNTJ3LU,ETGHSH,Warehouse
PYY54MWYBBTSL0YZ,2TX3ZK,Warehouse
GF3BQHJ30YR49OKT,GUTXG4,Office
S1SJZ3RSTT5P787E,EXOXBG,Other
VTKQXYFKZHGJKUFO,VTWAIY,Office
VX6AIB2611JEDZL0,EMA05D,Factory
STC3AXNJPM8TJKOU,S124EJ,Office
G1AE6UYNOO1D8C8S,EXOXBG,Office
PFC3XANKPMSTJ9FU,VXXYFB,Office
2YTLSQKDMMKCZL2V,S1BJQN,Office
C414XMCK2BC934FJ,CYA5K0,Warehouse
GXD8WJ5I44A0SQNC,VTNQCT,Office
2UQ3H5N9PMITJHJU,SMSYZI,Factory
VMCP8YUWHH47WF6D,VXFAOD,Warehouse
EFLK5B8FV17UO534,CF3TQU,Office
SM9YDFQ7TTXP7ARE,2MU19E,Factory
0ULHX1GKDAEOFXF9,214JB8,Office
PXX48AKWMM9CZF6V,2UNFPQ,Office
S44Y0QNOPMNTJB9U,2YTW2Z,Office
CYRAOTMN99M2IX87,01V8P4,Office
0FT1PHI30YR49QKT,STTJMX,Office
2104Y5K2MM3CZJZV,VXF5R7,Factory
ETGB2YEKZHGJKXFO,S1SO7R,Office
EXAM49X8UUHVR5IG,C4V4EU,Office
2T8O0XNJPM8TJAOU,SUUOVB,Office
